,,,,,
nomFR,nomEN,nombreUnite,Date,Farm,Map
Bouteille de vin vabbian,Bottle of Vabbian Wine,1,20/11/2023,"Tu peux en avoir en échangeant un contrat d'échange à un collectionneur vabbian au Bazar de Kodash, ou en échangeant 5 Spores Sensibles à Ahoj dans la Vallée de Vehtendi",https://wiki.guildwars.com/images/4/4b/Nicholas_the_Traveler_Vehtendi_Valley_map.jpg
Bracelet de jade,Jade Bracelet,3,13/02/2023,Tu peux les avoir en tuant les membres de la Fraternité de Jade,https://wiki.guildwars.com/images/4/41/Nicholas_the_Traveler_Tahnnakai_Temple_%28explorable_area%29_map.jpg
Branche de Baies de Juni,Branch of Juni Berries,3,07/11/2022,"Tu peux les avoir en répétant la quête ""Appétit Insatiable"" donnée par Chuno dans la Côte de Marga",https://wiki.guildwars.com/images/3/3e/Nicholas_the_Traveler_Bukdek_Byway_map.jpg
Cage thoracique épouvantable,Gruesome Ribcage,3,04/04/2022,Tu peux les avoir en tuant les Abominations dans le Gosier du Dragon,https://wiki.guildwars.com/images/7/79/Nicholas_the_Traveler_Dragon%27s_Gullet_map.jpg
Canine de Bauge pourrie,Rot Wallow Tusk,2,11/12/2023,Tu peux les avoir en tuant les Bauges Pourries à la sortie du Fonds Marins de Boreas dans la Vallée de Pongmei,https://wiki.guildwars.com/images/c/c8/Nicholas_the_Traveler_Pongmei_Valley_map.jpg
Carapace d'insecte,Insect Carapace,3,01/04/2023,"Tu peux les avoir en tuant les insectes ""Veldt"" à la sortie du Havre de Yohlon",https://wiki.guildwars.com/images/6/61/Nicholas_the_Traveler_Marga_Coast_map.jpg
Carapace de Kappa ancien,Ancient Kappa Shell,3,14/3/2022,Tu peux les avoir en tuant les Kappa dans la cité souterraine,https://wiki.guildwars.com/images/2/2d/Nicholas_the_Traveler_The_Undercity_map.jpg
Carapace de Lune,Moon Shell,2,28/11/2022,"Tu peux les avoir en tuant les Bouches du Léviathan, les Yeux du Léviathan ou les Bouches du Léviathan",https://wiki.guildwars.com/images/f/f6/Nicholas_the_Traveler_Gyala_Hatchery_%28explorable_area%29_map.jpg
Carapace de mandragore glaciale,Frigid Mandragor Husk,3,16/05/2022,Tu peux les avoir en tuant les mandragores à la sortie de l'Oeil du Nord dans les Gouffres de Givre,https://wiki.guildwars.com/images/f/f9/Nicholas_the_Traveler_Norrhart_Domains_map.jpg
Carapace fétide,Fetid Carapace,3,21/11/2022,Tu peux les avoir en tuant les Dévoreurs à la sortie de la Frontière Orientale en sortant de la Porte Frontière,https://wiki.guildwars.com/images/thumb/1/1f/Nicholas_the_Traveler_Eastern_Frontier_map.jpg/664px-Nicholas_the_Traveler_Eastern_Frontier_map.jpg
Carapace épineuse,Thorny Caparace,2,26/11/2022,Tu peux les avoir en tuant des Dévoreurs dans l'Echine d'Ettin,https://wiki.guildwars.com/images/thumb/7/7c/Nicholas_the_Traveler_Majesty%27s_Rest_map.jpg/800px-Nicholas_the_Traveler_Majesty%27s_Rest_map.jpg
Carré de cuir élonien,Elonian Leather Square,5,12/02/2024,Tu peux en acheter aux marchands de matériaux rares,https://wiki.guildwars.com/images/c/c8/Nicholas_the_Traveler_Jahai_Bluffs_map.jpg
Coeur d'Ether rugissant,Roaring Ether Heart,1,08/07/2024,Tu peux en avoir en tuant les Ether Rugissant dans le Miroir de Lyss en sortant du Bastion de Dzagonur,https://wiki.guildwars.com/images/a/af/Nicholas_the_Traveler_The_Mirror_of_Lyss_map.jpg
Coeur frigide,Frigid Heart,3,03/04/2023,Tu peux en avoir en tuant les Lutins de Glace dans le Dôme de Glace,https://wiki.guildwars.com/images/f/f0/Nicholas_the_Traveler_Spearhead_Peak_map.jpg
Coeur palpitant,Glowing Heart,2,08/05/2023,Tu peux en avoir en tuant les Lutins de Feu et les Lutins Infernaux dans la Kryte du Nord,https://wiki.guildwars.com/images/f/f6/Nicholas_the_Traveler_Stingray_Strand_map.jpg
Coffret de babioles oublié,Forgotten Trinket Boxes,5,04/03/2024,Tu peux en avoir en tuant les gardes infectés dans le Domaine du Ministre Cho ,https://wiki.guildwars.com/images/6/6d/Nicholas_the_Traveler_Minister_Cho%27s_Estate_%28explorable_area%29_map.jpg
Collier en pierre de Grawl,Stone Grawl Necklaces,2,15/08/2022,"Tu peux en avoir en tuant les Champions, Demagogues et Prêteres Grawl dans la Vallée de Sacnoth",https://wiki.guildwars.com/images/thumb/3/3a/Nicholas_the_Traveler_Sacnoth_Valley_map.jpg/346px-Nicholas_the_Traveler_Sacnoth_Valley_map.jpg
Collier travaillé de Grawl,Intricate Grawl Necklaces,3,05/06/2023,Tu peux en avoir en tuant les Grawls dans le Palais de Witman,https://wiki.guildwars.com/images/2/2f/Nicholas_the_Traveler_Witman%27s_Folly_map.jpg
Corne de Berserker,Berserker Horn,3,18/09/2023,Tu peux les avoir en tuant les Berserkers dans la Frontière de Bjora,https://wiki.guildwars.com/images/b/b8/Nicholas_the_Traveler_Jaga_Moraine_map.jpg
Corne de Minotaure,Minotaur Horn,2,20/02/2023,Tu peux les avoir en tuant les Minotaures dans le Chemin du Prophète,https://wiki.guildwars.com/images/1/14/Nicholas_the_Traveler_Prophet%27s_Path_map.jpg
Corne de Minotaure des forêts,Forest Minotaur Horn,2,09/10/2023,Tu peux les avoir en tuant les Minotaures des Forêts dans le Rideau Noir,https://wiki.guildwars.com/images/thumb/a/a2/Nicholas_the_Traveler_Kessex_Peak_map.jpg/372px-Nicholas_the_Traveler_Kessex_Peak_map.jpg
Croc de Givrefeu,Frostfire Fangs ,2,18/12/2023,Tu peux les avoir en tuant les Drider givrefeu dans le Rocher de l'Enclume ,https://wiki.guildwars.com/images/2/21/Nicholas_the_Traveler_Anvil_Rock_map.jpg
Crâne breloque,Skull Juju,1,06/11/2023,Tu peux les avoir en tuant les Boss Gaki dans le Verger Éternel,https://wiki.guildwars.com/images/4/45/Nicholas_the_Traveler_The_Eternal_Grove_%28explorable_area%29_map.jpg
Crâne de Gargouille brûlé,Singed Gargoyle Skull,3,02/09/2024,Tu peux les avoir en tuant les Gargouilles dans les Basse Terre de Diessa,https://wiki.guildwars.com/images/b/b8/Nicholas_the_Traveler_Diessa_Lowlands_map.jpg
Crâne de Mergouille,Mergoyle Skull,3,08/04/2023,Tu peux les avoir en tuant les Mergouilles dans la Pente des Brigands,https://wiki.guildwars.com/images/d/df/Nicholas_the_Traveler_Watchtower_Coast_map.jpg
Crête d'azur,Azure Crest,1,22/07/2024,Tu peux les avoir en tuant les Dragons Cacheroc dans le Cratère de Rhéa à la sortie des Mines d'Aurios,https://wiki.guildwars.com/images/1/18/Nicholas_the_Traveler_Unwaking_Waters_%28explorable_area%29_map.jpg
Crête de dragon,Spiked Crest,1,04/09/2023,Tu peux les avoir en tuant les Drake au début de la coop Récif Sacré,https://wiki.guildwars.com/images/c/c2/Nicholas_the_Traveler_Tears_of_the_Fallen_map.jpg
Crête de Quetzal,Quetzal Crest,2,27/06/2022,Tu peux les avoir en tuant les Quetzal à la sortie de la Grotte obscure dans les Cascades Verdoyantes,https://wiki.guildwars.com/images/c/cd/Nicholas_the_Traveler_Alcazia_Tangle_map.jpg
Crête de topaze,Topaz Crest,1,04/12/2023,Tu peux les avoir en tuant les Drake de Sable dans la Montée du Devin,https://wiki.guildwars.com/images/e/ec/Nicholas_the_Traveler_Diviner%27s_Ascent_map.jpg
Doublon d'or,Gold Doubloon,1,19/06/2023,Tu peux les avoir en tuant les Corsaires dans la Côte Barbare,https://wiki.guildwars.com/images/c/c6/Nicholas_the_Traveler_Barbarous_Shore_map.jpg
Défense de Troll de la jungle,Jungle Troll Tusks,3,02/01/2023,Tu peux les avoir en tuant les Troll de la Jungle dans la Racine Enchevêtrée ou dans le Marais du Roseau,https://wiki.guildwars.com/images/3/34/Nicholas_the_Traveler_Tangle_Root_map.jpg
Défense de Troll des montagnes,Mountain Troll Tusks,5,12/08/2024,Tu peux les avoir en tuant les Troll de Montagne dans la grotte à gauche dans la Pente du Talus en sortant de la Forge de Droknar,https://wiki.guildwars.com/images/4/4c/Nicholas_the_Traveler_Talus_Chute_map.jpg
Ecaille chromatique,Chromatic Scale ,1,12/12/2022,Tu peux les avoir en tuant les Drake Chromatique dans l'Abîme des Batailles,https://wiki.guildwars.com/images/1/1e/Nicholas_the_Traveler_Ice_Cliff_Chasms_map.jpg
Eclat de Jadéite,Jadeite Shard,3,12/06/2023,Tu peux en acheter auprès des marchands de matériaux rares,https://wiki.guildwars.com/images/6/60/Nicholas_the_Traveler_Shadow%27s_Passage_map.jpg
Essence céleste,Celestial Essence,3,10/04/2023,Tu peux en farmer dans la coop des Quartiers de Naphui,https://wiki.guildwars.com/images/b/b7/Nicholas_the_Traveler_Nahpui_Quarter_%28explorable_area%29_map.jpg
Essence du jinn d'eau,Water Djinn Essence,1,06/05/2023,Tu peux en avoir en tuant les Jinn d'Eau en partant de la Porte de la Désolation dans la Procession de Turai,https://wiki.guildwars.com/images/e/e2/Nicholas_the_Traveler_Turai%27s_Procession_map.jpg
Essence du jinn de diamant,Diamond Djinn Essence,1,19/09/2022,"Tu peux avoir en faisant la quête ""Présent du Jinn"" donnée par Chukeht l'émissaire de la Bibliothèque à la Ville de Mihanu, qui font apparaître des Jinn de Rubis",https://wiki.guildwars.com/images/0/0c/Nicholas_the_Traveler_The_Hidden_City_of_Ahdashim_map.jpg
Essence du jinn de rubis,Ruby Djinn Essence,1,09/01/2023,"Tu peux en avoir en tuant les Jinn de Rubis avec la quête ""Présent du Jinn"" donnée par Chukeht l'émissaire de la Bibliothèque à la Ville de Mihanu",https://wiki.guildwars.com/images/3/39/Nicholas_the_Traveler_The_Alkali_Pan_map.jpg
Essence du jinn de Saphir,Sapphire Djinn Essence,1,06/05/2024,"Tu peux en avoir en tuant les Jinn de Saphir avec la quête ""Présent du Jinn"" donnée par Chukeht l'émissaire de la Bibliothèque à la Ville de Mihanu",https://wiki.guildwars.com/images/7/73/Nicholas_the_Traveler_Resplendent_Makuun_map.jpg
Fiole d'encre,Vial of Ink,3,19/08/2024,Tu peux en acheter au marchand de matériaux rares,https://wiki.guildwars.com/images/b/bf/Nicholas_the_Traveler_Shenzun_Tunnels_map.jpg
Fiole de verre trempé,Tempered Glass Vial,5,22/04/2024,Tu peux en acheter au marchand de matériaux rares,https://wiki.guildwars.com/images/6/69/Nicholas_the_Traveler_Mourning_Veil_Falls_map.jpg
Fourrure de Béhémoth,Behemoth Hide,2,22/05/2023,Tu peux en avoir en tuant les Behemoth dans les Mines de Vehjin ou dans les Terres Sauvages de Bahdza,https://wiki.guildwars.com/images/4/48/Nicholas_the_Traveler_Wilderness_of_Bahdza_map.jpg
Fourrure de Charr,Charr Hide,1,12/09/2022,Tu peux les avoir en répétant la coop Fort Ranik (en tuant les Charrs),https://wiki.guildwars.com/images/f/f1/Nicholas_the_Traveler_The_Breach_map.jpg
Fragment gravé,Inscribed Shard,2,30/09/2024,"Tu peux les avoir en tuant les Monolithes Gravés dans le Jahai Crépusculaire, le Coeur Déchiré ou dans le Désert Sulfureux",https://wiki.guildwars.com/images/thumb/2/2e/Nicholas_the_Traveler_Joko%27s_Domain_map.jpg/600px-Nicholas_the_Traveler_Joko%27s_Domain_map.jpg
Graine alpine,Alpine Seed,2,03/06/2024,"Tu peux les avoir en tuant les Esprits de Pin dans le Bassin de Deldrimor, ou au début de la Coop des Grottes des Larmes Gelées",https://wiki.guildwars.com/images/8/8f/Nicholas_the_Traveler_Frozen_Forest_map.jpg
Graine des ténèbres,Gloom Seed,1,05/09/2022,"Tu peux les avoir en tuant les Graines de Corruption, les Esprit des Bois, les Esprit Berger dans la FoW",https://wiki.guildwars.com/images/thumb/b/b2/Nicholas_the_Traveler_The_Falls_map.jpg/800px-Nicholas_the_Traveler_The_Falls_map.jpg
Graine enchevêtrée,Tangled Seed,2,10/06/2024,"Tu peux les avoir en tuant les Cosses de Vie, les Racines Enchevêtrées, les Gardiens de la Jungle dans l'Echine d'Ettin en partant de la Clairière de l'Aurore",https://wiki.guildwars.com/images/thumb/f/f0/Nicholas_the_Traveler_Dry_Top_map.jpg/750px-Nicholas_the_Traveler_Dry_Top_map.jpg
Graine rare,Abnormal Seed,2,01/01/2024,Tu peux les avoir en tuant les Roseau Tueur à la sortie du Temple des Âges,https://wiki.guildwars.com/images/0/01/Nicholas_the_Traveler_Talmark_Wilderness_map.jpg
Graine sensible,Sentient Seed,3,08/08/2022,"Tu peux les avoir en tuant les Iboga à Crocs, les Jacaranda Graine d'Orage à la sortie de l'Antre de la Marée Noire dans Fahranur, Première Cité",https://wiki.guildwars.com/images/8/87/Nicholas_the_Traveler_Fahranur%2C_The_First_City_map.jpg
Gravure de Charr,Charr Carving,3,30/05/2022,"Tu peux les avoir en tuant des Charr, dans l'Eden mais aussi dans Ascalon post Eden",https://wiki.guildwars.com/images/7/73/Nicholas_the_Traveler_Flame_Temple_Corridor_map.jpg
Gravure magnifique de Charr,Superb Charr Carving,3,17/10/2022,Tu peux les avoir en tuant des Charr dans GWEN,https://wiki.guildwars.com/images/7/71/Nicholas_the_Traveler_Dalada_Uplands_map.jpg
Griffe d'Ether rugissant,Roaring Ether Claw,2,31/10/2022,Tu peux les avoir en tuant les Ether Rugissant dans le Miroir de Lyss,https://wiki.guildwars.com/images/e/e7/Nicholas_the_Traveler_Garden_of_Seborhin_map.jpg
Griffe d'Hydre desséchée,Dessicated Hydra Claws,2,27/03/2023,Tu peux les avoir en tuant les Hydre dans les Etendues Celestes,https://wiki.guildwars.com/images/8/81/Nicholas_the_Traveler_The_Scar_map.jpg
Griffe de cuir,Leathery Claw,3,15/07/2024,Tu peux les avoir en tuant les Hydre dans les Collines d'Ascalon ou les Basse Terre de Diessa,https://wiki.guildwars.com/images/thumb/3/3e/Nicholas_the_Traveler_Ascalon_Foothills_map.jpg/720px-Nicholas_the_Traveler_Ascalon_Foothills_map.jpg
Griffe de Mahgo,Mahgo Claw,1,25/07/2022,Tu peux les avoir en tuant les Hydre Mahgo dans la Fow ou dans les Îles du Feu,https://wiki.guildwars.com/images/0/0d/Nicholas_the_Traveler_Perdition_Rock_map.jpg
Griffe de Skelk,Skelk Claw,3,20/03/2023,Tu peux les avoir en tuant les Skelk dans les Cascades Verdoyantes en partant de la Grotte obscure,https://wiki.guildwars.com/images/f/f6/Nicholas_the_Traveler_Verdant_Cascades_map.jpg
Grigri d'os,Bone Charm,3,03/10/2022,Tu peux les avoir en tuant les Paria dans la Mer de Jade,https://wiki.guildwars.com/images/4/4c/Nicholas_the_Traveler_Rhea%27s_Crater_map.jpg
Gâteau aux racines de mandragore,Mandragor Root Cake,1,18/07/2022,Tu peux les avoir en échangeant 3 Racines de Mandragore à Yajide dans le Havre de Yohlon ,https://wiki.guildwars.com/images/3/3c/Nicholas_the_Traveler_Arkjok_Ward_map.jpg
Géode,Geode,1,21/03/2022,Tu peux les avoir en tuant les scarabés de pierre à la sortie de la Ville de Mihanu dans le Miroir de Lyss,https://wiki.guildwars.com/images/3/3c/Nicholas_the_Traveler_Arkjok_Ward_map.jpg
Hareng,Herring,1,22/08/2022,Tu peux les avoir en échangeant 5 Ailerons de Marécailleux à Gruhn le Pêccheur dans le Lac des Serpents Jumeaux ,https://wiki.guildwars.com/images/thumb/c/c3/Nicholas_the_Traveler_Twin_Serpent_Lakes_map.jpg/334px-Nicholas_the_Traveler_Twin_Serpent_Lakes_map.jpg
Idole du fléau,Plague Idol,3,04/07/2022,Tu peux les avoir en tuant les Am Fah dans le Bazar de Waijun,https://wiki.guildwars.com/images/d/d5/Nicholas_the_Traveler_Wajjun_Bazaar_map.jpg
Incisive de Draguerre,Dredge Incisor,3,09/09/2024,Tu peux les avoir en tuant des Draguerres dans l'Espoir de Melandru ou dans le Vallon de la Fougère,https://wiki.guildwars.com/images/4/46/Nicholas_the_Traveler_Melandru%27s_Hope_map.jpg
Insigne du Sommet de Pierre,Stone Summit Badge,3,16/09/2024,Tu peux les avoir en tuant les Sommet de Pierre dans le Val du Pélérin en sortant de la Descente du Yak,https://wiki.guildwars.com/images/e/e6/Nicholas_the_Traveler_Tasca%27s_Demise_map.jpg
Iris,Red Iris Flower,3,06/06/2022,"Tu peux les avoir en les ramassant dans le jardin de Gwen, à la sortie de l'Oeil du Nord, à droite au fond",https://wiki.guildwars.com/images/7/7a/Nicholas_the_Traveler_Regent_Valley_map.jpg
Kebab,Drake Kabob,1,24/04/2023,Tu peux les avoir en échangeant des Morceaux de Chair de Drake au Chef Lonbahn à Kamadan,https://wiki.guildwars.com/images/9/94/Nicholas_the_Traveler_Issnur_Isles_map.jpg
Kyste utride,Putrid Cyst,3,16/10/2023,"Tu peux les avoir en tuant les Affligés, dans les différentes coopérations de Factions",https://wiki.guildwars.com/images/c/cf/Nicholas_the_Traveler_Sunjiang_District_%28explorable_area%29_map.jpg
Langue d' heket,Heket Tongue,2,05/08/2024,"Tu peux les avoir en tuant les heket dans Gandara, la Forteresse de la Lune, ou dans la Côte Barbare",https://wiki.guildwars.com/images/7/7c/Nicholas_the_Traveler_Dejarin_Estate_map.jpg
Langue d'amphibien,Amphibian Tongue,2,27/05/2024,"Tu peux les avoir en tuant les Heket, dans les Reliefs de Bogroot",https://wiki.guildwars.com/images/thumb/d/dc/Nicholas_the_Traveler_Sparkfly_Swamp_map.jpg/391px-Nicholas_the_Traveler_Sparkfly_Swamp_map.jpg
Magnétite brûlée,Scorched Lodestone,3,29/04/2024,Tu peux les avoir en tuant les Élementaires de Pierre dans le Vieil Ascalon en partant de Sanatorium de Sardelac,https://wiki.guildwars.com/images/6/62/Nicholas_the_Traveler_Old_Ascalon_map.jpg
Magnétite des sables,Sandblasted Lodestone,1,18/03/2024,Tu peux les avoir en tuant les Mesa Dévastratrice dans le Domaine de Joko,https://wiki.guildwars.com/images/2/2e/Nicholas_the_Traveler_The_Shattered_Ravines_map.jpg
Magnétite glacée,Icy Lodestone,2,03/07/2023,Tu peux les avoir en tuant les Golem de Glace dans le Val du pélerin ,https://wiki.guildwars.com/images/thumb/3/31/Nicholas_the_Traveler_Icedome_map.jpg/683px-Nicholas_the_Traveler_Icedome_map.jpg
Magnétite sensible,Sentient Lodestone,1,26/12/2022,"Tu peux les avoir en tuant les Tertre Colossal dans la côte Barbare, la Procession de Turai",https://wiki.guildwars.com/images/d/d7/Nicholas_the_Traveler_Bahdok_Caverns_map.jpg
Mandibule de Jade,Jade mandible,2,23/10/2023,Tu peux les avoir en tuant les scarabés de jade dans le Chemin du Prophète,https://wiki.guildwars.com/images/b/b6/Nicholas_the_Traveler_Salt_Flats_map.jpg
Mandibule moussue,Mossy Mandibles,3,29/01/2024,Tu peux les avoir en tuant les scarabés de mousse dans les Chutes et dans le Marais du Roseau,https://wiki.guildwars.com/images/b/b0/Nicholas_the_Traveler_Ettin%27s_Back_map.jpg
Masque de Margonite,Margonite Mask,2,20/06/2022,Tu peux les avoir en tuant les Margonites dans la Coop de la Baie de Nundu,https://wiki.guildwars.com/images/f/ff/Nicholas_the_Traveler_Poisoned_Outcrops_map.jpg
Morceau d'ambre,Amber Chunk,3,01/05/2023,Tu peux les acheter aux marchands de matériaux rares,https://wiki.guildwars.com/images/e/e0/Nicholas_the_Traveler_Ferndale_map.jpg
Mousse de gardien,Guardian Moss,1,13/05/2024,Tu peux les avoir en tuant les Gardiens de l'ïle dans la Vallée de Pongmei,https://wiki.guildwars.com/images/b/b1/Nicholas_the_Traveler_Maishang_Hills_map.jpg
Mue de Naga,Naga Skin,3,29/08/2022,Tu peux les avoir en tuant les Nagas dans les Archipels,https://wiki.guildwars.com/images/4/41/Nicholas_the_Traveler_Mount_Qinkai_map.jpg
Mâchoire de Béhémoth,Behemoth Jaw,1,25/09/2023,Tu peux les avoir en tuant les Behemoth Racine dans la Cimesèche,https://wiki.guildwars.com/images/0/04/Nicholas_the_Traveler_Mamnoon_Lagoon_map.jpg
Mâchoire épaisse,Massive Jawbone,1,05/12/2022,Tu peux les avoir en tuant les Géant des Sables dans la Cicatrice,https://wiki.guildwars.com/images/thumb/3/35/Nicholas_the_Traveler_The_Arid_Sea_map.jpg/576px-Nicholas_the_Traveler_The_Arid_Sea_map.jpg
Oeil de kraken,Kraken Eye,2,11/04/2022,Tu peux les avoir en tuant les Progénitures de Kraken dans les Fonds Marins de Boreas (zone explorable),https://wiki.guildwars.com/images/a/a6/Nicholas_the_Traveler_Boreas_Seabed_%28explorable_area%29_map.jpg
Oeil flétri,Shriveled Eye,2,26/06/2023,Tu peux les avoir en tuant les marcheurs de tempête dans le Chemin du Prophète,https://wiki.guildwars.com/images/c/c9/Nicholas_the_Traveler_Skyward_Reach_map.jpg
Os de saurien,Saurian Bone,5,15/05/2023,Tu peux les avoir en faisant le farm des raptors en sortant de Rata Sum,https://wiki.guildwars.com/images/d/df/Nicholas_the_Traveler_Riven_Earth_map.jpg
Patte de tisseur,Weaver Leg,2,27/11/2023,Tu peux les avoir en tuant les araignées dans la Terre Déchiquetée,https://wiki.guildwars.com/images/7/7e/Nicholas_the_Traveler_Magus_Stones_map.jpg
Peau de Jotun,Jotun Pelt,1,29/07/2024,Tu peux les avoir en tuant les Jotun à la sortie de Sifhalla dans le Lac Drakkar,https://wiki.guildwars.com/images/a/a9/Nicholas_the_Traveler_Bjora_Marches_map.jpg
Peau de Krait,Krait Skin,3,23/09/2024,Tu peux les avoir en tuant les Krait à la sortie des Chutes de Vlox dans la Baie d'Arbor,https://wiki.guildwars.com/images/1/14/Nicholas_the_Traveler_Arbor_Bay_map.jpg
Peau de vermine,Vermin Hide,3,01/07/2024,Tu peux les avoir en tuant les vermines dans le Sentier de Xaquang,https://wiki.guildwars.com/images/1/1a/Nicholas_the_Traveler_Xaquang_Skyway_map.jpg
Pendentif kournan,Kournan Pendant,3,26/08/2024,Tu peux les avoir en tuant les militaires Kournan,https://wiki.guildwars.com/images/a/ae/Nicholas_the_Traveler_Gandara%2C_the_Moon_Fortress_map.jpg
Perle noire,Black Pearl,3,25/03/2024,Tu peux les avoir en tuant les Irukandji dans les Archipels,https://wiki.guildwars.com/images/1/14/Nicholas_the_Traveler_Archipelagos_map.jpg
Pierre d'asservissement,Enslavement Stone,2,05/02/2024,Tu peux les avoir en tuant les Sommet de Pierre dans les Cimefroides du Sud,https://wiki.guildwars.com/images/b/b1/Nicholas_the_Traveler_Grenth%27s_Footprint_map.jpg
Pierre d'âme,Soul Stone,3,28/08/2023,Tu peux les avoir en tuant les Shiroken dans la zone du Palais de Raisu,https://wiki.guildwars.com/images/3/32/Nicholas_the_Traveler_Raisu_Palace_%28explorable_area%29_map.jpg
Pierre lumineuse,Luminous Stone,1,29/05/2023,Tu peux les avoir en tuant les lutins mandragores dans la Côte barbare,https://wiki.guildwars.com/images/1/1f/Nicholas_the_Traveler_Crystal_Overlook_map.jpg
Pince de mantide,Mantid Pincer,5,01/08/2022,Tu peux les avoir en tuant les mantides dans le chemin de Saoshang,https://wiki.guildwars.com/images/c/c6/Nicholas_the_Traveler_Saoshang_Trail_map.jpg
Pièce cuivrée du Crâne Cramoisi,Copper Crimson Skull Coin,5,22/01/2024,Tu peux les avoir en tuant les Cramoisi dans la péninsule de Panjiang,https://wiki.guildwars.com/images/a/a7/Nicholas_the_Traveler_Kinya_Province_map.jpg
Pièce d'argent,Silver Bullion Coin,2,06/03/2023,Tu peux les avoir en tuant les Corsaires dans l'Archipel de Mehtani,https://wiki.guildwars.com/images/b/b9/Nicholas_the_Traveler_Mehtani_Keys_map.jpg
Pièce d'or du Crâne Cramoisi,Gold Crimson Skull Coin,1,06/02/2023,Tu peux les avoir en tuant les Cramoisi dans la péninsule de Panjiang,https://wiki.guildwars.com/images/4/4a/Nicholas_the_Traveler_Haiju_Lagoon_map.jpg
Planche de Boispirite,Spiritwood Plank,3,07/08/2023,Tu peux les acheter aux marchands de matériaux rares,https://wiki.guildwars.com/images/thumb/8/8b/Nicholas_the_Traveler_Griffon%27s_Mouth_map.jpg/761px-Nicholas_the_Traveler_Griffon%27s_Mouth_map.jpg
Racine de dragon,Dragon Root,1,11/09/2023,Tu peux les avoir en tuant les mousses de dragon dans les brousses de Drazach ou dans la Vallée de Pongmei,https://wiki.guildwars.com/images/0/0c/Nicholas_the_Traveler_Drazach_Thicket_map.jpg
Racine de Mandragore des marais,Mandragor Swamproot,3,13/11/2023,Tu peux les avoir en tuant les lutins mandragores dans le Marais de Lahtenda,https://wiki.guildwars.com/images/8/87/Nicholas_the_Traveler_Lahtenda_Bog_map.jpg
Racine fibreuse de Mandragore,Fibrous Mandragor Roots,2,28/3/2022,Tu peux les avoir en tuant les Mandragores à la sortie du Coteau de Longoeil dans les Collines de la Guerre de Grothmar,https://wiki.guildwars.com/images/9/98/Nicholas_the_Traveler_Grothmar_Wardowns_map.jpg
Ravitaillement volé,Stolen supplies,3,17/06/2024,Tu peux les trouver en tuant les Yétis dans le Promontoire de Jaya,https://wiki.guildwars.com/images/8/8a/Nicholas_the_Traveler_Jaya_Bluffs_map.jpg
